Designator,Mid X,Mid Y,Layer,Rotation
C2, 2.60,14.60,Bottom,180.0
C5, 3.70,28.10,Bottom,270.0
C6,12.23,24.11,Bottom,0.0
C7, 7.80,30.90,Bottom,90.0
C8,11.40,30.60,Bottom,180.0
C9,11.70,28.60,Bottom,90.0
C10,14.70,25.00,Bottom,270.0
C11, 2.70,23.00,Bottom,270.0
C12, 2.10,28.10,Bottom,90.0
C13,15.26,30.65,Bottom,0.0
C14,15.10,29.40,Bottom,180.0
C15,14.86, 2.69,Bottom,180.0
C16,15.10, 4.10,Bottom,180.0
C18,18.30,19.20,Bottom,180.0
C19,19.40,22.00,Bottom,90.0
C20,25.40,17.60,Bottom,90.0
C21,17.70, 9.10,Bottom,180.0
C22,17.70,10.30,Bottom,180.0
C23,23.00,22.11,Bottom,90.0
C26,23.68,19.38,Bottom,0.0
C27,15.10, 7.97,Bottom,0.0
C28,15.40,21.70,Bottom,180.0
C31,21.35,14.19,Bottom,0.0
C32,21.38,19.38,Bottom,180.0
C33,27.97,18.26,Bottom,270.0
C34,53.10, 4.74,Bottom,90.0
C35,51.10, 4.74,Bottom,90.0
C36,46.00, 6.30,Bottom,90.0
C37,44.70, 6.30,Bottom,90.0
C38,47.30, 6.30,Bottom,90.0
C39,48.60, 6.30,Bottom,90.0
C40,42.10, 6.30,Bottom,90.0
C41,43.40, 6.30,Bottom,90.0
C45,45.20,27.42,Bottom,270.0
C46,46.80,27.42,Bottom,270.0
C47,42.60,27.16,Bottom,270.0
C48,40.20,27.16,Bottom,270.0
C49,41.40,27.16,Bottom,270.0
C50,43.80,27.16,Bottom,270.0
C51,37.80,27.16,Bottom,270.0
C52,39.00,27.16,Bottom,270.0
C57,47.40,15.70,Bottom,90.0
C58,48.60,15.72,Bottom,90.0
C68,54.60, 8.50,Bottom,90.0
C69,27.30,27.15,Bottom,0.0
C70,27.60,25.40,Bottom,0.0
C71,27.86,24.00,Bottom,0.0
C72,27.86,21.60,Bottom,0.0
C73,27.86,22.80,Bottom,0.0
C74,27.98,13.58,Bottom,0.0
C75,27.98,12.39,Bottom,0.0
J3, 5.70, 7.30,Bottom,270.0
L1, 7.90,28.40,Bottom,0.0
L2,11.78,26.16,Bottom,0.0
L3, 2.75,25.41,Bottom,0.0
R1, 8.30,18.00,Bottom,0.0
R2, 8.30,16.70,Bottom,180.0
R8, 9.00,30.90,Bottom,90.0
R9, 6.60,30.90,Bottom,270.0
R10,12.83,22.54,Bottom,0.0
R11,13.00,28.60,Bottom,90.0
R12,10.40,28.60,Bottom,90.0
R13,12.83,21.30,Bottom,0.0
R14, 1.40,23.00,Bottom,270.0
R15, 4.00,23.00,Bottom,90.0
R22,15.10, 5.40,Bottom,0.0
R23,15.10,27.00,Bottom,0.0
R24,15.10, 6.70,Bottom,0.0
R25,15.10,28.20,Bottom,0.0
R27,12.50, 6.70,Bottom,0.0
R30,17.70, 7.90,Bottom,0.0
R31,15.10,31.91,Bottom,0.0
R32,17.75,26.20,Bottom,0.0
R35,17.75,25.00,Bottom,0.0
R37,15.10,19.00,Bottom,0.0
R39,15.10, 9.25,Bottom,0.0
R41,15.10,20.30,Bottom,180.0
R44,17.70,11.50,Bottom,0.0
R45,17.70,13.00,Bottom,180.0
R46,24.20,17.60,Bottom,90.0
R47,47.40,13.50,Bottom,90.0
R48,38.80,16.10,Bottom,180.0
R49,27.96,14.78,Bottom,0.0
R50,27.95,15.97,Bottom,180.0
R51,47.00,10.90,Bottom,270.0
R53,53.40, 8.50,Bottom,270.0
R56,52.20,13.50,Bottom,90.0
R57,53.40,13.50,Bottom,90.0
R58,51.00, 8.50,Bottom,270.0
R59,54.60,13.50,Bottom,90.0
R60,52.20, 8.50,Bottom,270.0
R61,48.60, 8.50,Bottom,90.0
R65,49.80, 8.50,Bottom,270.0
R66,49.80,13.50,Bottom,90.0
R68,51.00,13.50,Bottom,90.0
R70,48.60,10.90,Bottom,270.0
TP1,31.98,13.61,Bottom,180.0
TP2,11.50,19.50,Bottom,180.0
U3, 7.40,24.60,Bottom,180.0
U4,19.60, 4.40,Bottom,0.0
U5,19.70,29.60,Bottom,0.0
X1,22.00,16.90,Bottom,90.0
